bin_min	bin_max	MD	UNIT
100000000.0	138005656.92686915	0	0
138005656.92686915	190455613.4381671	0	0
190455613.4381671	262839520.47944206	0	0
262839520.47944206	362733406.9010868	179	0
362733406.9010868	500592621.0870582	276	195
500592621.0870582	690846135.2586275	11949	321
690846135.2586275	953406747.3175598	1049	11492
953406747.3175598	1315755244.820694	302421	1200
1315755244.820694	1815816669.1645343	946	298764
1815816669.1645343	2505929722.8681097	422813	19945
2505929722.8681097	3458324776.169821	22676	394831
3458324776.169821	4772683826.0178385	477060	483150
4772683826.0178385	6586573667.1383505	1155590	576118
6586573667.1383505	9089844258.306458	1600304	1436586
9089844258.306458	12544499282.305176	3878630	2003532
12544499282.305176	17312118642.731644	7623140	5172267
17312118642.731644	23891703060.860786	26126243	13382179
23891703060.860786	32971901760.157837	25872823	24235099
32971901760.157837	45503089625.38776	23524939	23073039
45503089625.38776	62796837759.53867	19684843	16117952
62796837759.53867	86663188479.35156	15525489	13328001
86663188479.35156	119600102574.69992	12246241	10101804
119600102574.69992	165054907243.42465	9917096	7532361
165054907243.42465	227785109031.32272	7559616	5722460
227785109031.32272	314356336100.2621	5907675	4202680
314356336100.2621	433829526726.40344	4443841	3167465
433829526726.40344	598709288301.5005	3405848	2303117
598709288301.5005	826252686402.6687	2516331	1702936
826252686402.6687	1140275447745.9116	1870133	1248701
1140275447745.9116	1573644622437.544	1367196	903954
1573644622437.544	2171718598889.2913	997698	654202
2171718598889.2913	2997094519000.165	716998	471437
2997094519000.165	4136159979665.367	508486	337460
4136159979665.367	5708134751483.447	358195	237697
5708134751483.447	7877548862055.642	247552	166134
7877548862055.642	10871463056814.994	168515	115148
10871463056814.994	15003234009119.424	112601	77568
15003234009119.424	20705311654560.793	73164	51769
20705311654560.793	28574501367632.223	46434	33150
28574501367632.223	39434428325978.23	28469	21192
39434428325978.23	54421741866621.62	16681	12621
54421741866621.62	75105082374076.14	9345	7483
75105082374076.14	103649262315810.0	4890	3953
103649262315810.0	143041845358787.44	2417	2019
143041845358787.44	197405838367710.88	1126	933
197405838367710.88	272431224051354.03	443	408
272431224051354.03	375970500425981.94	163	145
375970500425981.94	518860558964113.75	45	55
518860558964113.75	716056922932853.4	13	10
716056922932853.4	988199060463809.5	3	4
