# sigma chi2 
0.3 123.66373555823962 
0.4721987501671921 187.50617168354574 
0.14004299364377062 120.29617849667581 
0.20690358357361574 112.96295983945593 
0.19188988575665236 113.9090515453526 
0.2170891837413884 112.92062640948109 
0.3825937292239552 150.47286438399806 
0.08196610235497123 131.32009997312946 
0.18448001847700335 114.39584498125619 
0.20745716026616448 112.95528278219794 
0.2170891837413884 112.92062640948109 
0.3825937292239552 150.47286438399806 
0.08196610235497123 131.32009997312946 
0.24892286036018374 114.7360930220251 
0.18649368502046365 114.14310315714778 
0.2233662058080805 112.91352448336202 
0.21086172574706263 112.90332307993083 
