# s wp wperr
5.011872336272723771e+00 3.942845625957620115e+01 1.062105115682940859e+00
6.309573444801935160e+00 3.290252709454198765e+01 6.885242806578104613e-01
7.943282347242819341e+00 2.678513220775853299e+01 5.934338116548305564e-01
1.000000000000000711e+01 2.174325119878067625e+01 3.570030371787307755e-01
1.258925411794167104e+01 1.698568169115403137e+01 4.488630064350683235e-01
1.584893192461113642e+01 1.295518392953134956e+01 2.517831491824881751e-01
1.995262314968880091e+01 9.718549634312070751e+00 2.448155467891006964e-01
2.511886431509581286e+01 6.854171155450146991e+00 2.150443623195233689e-01
3.162277660168381388e+01 4.716156758447973552e+00 1.460455695635204942e-01
