# s wp wperr
5.011872336272723771e+00 3.923754417769136893e+01 1.285524965209007719e+00
6.309573444801935160e+00 3.260397448852904745e+01 1.178070621633696469e+00
7.943282347242819341e+00 2.635730054255072830e+01 6.960042087650253340e-01
1.000000000000000711e+01 2.140733832349098265e+01 6.662074333001506421e-01
1.258925411794167104e+01 1.661268729907336805e+01 5.380509455314406164e-01
1.584893192461113642e+01 1.264238048802412528e+01 4.197143678498188035e-01
1.995262314968880091e+01 9.620749632477309632e+00 3.333502421393418347e-01
2.511886431509581286e+01 6.915019126304694730e+00 2.825854997353360321e-01
3.162277660168381388e+01 4.695846511147586888e+00 2.123220050855567365e-01
