# sigma_high chi2 
0.3 2752.2666015625 
0.5441838696967988 1273.837890625 
0.10478310554705211 5276.5615234375 
0.7593285142734563 779.9235229492188 
0.873523501652 632.8629150390625 
0.6222238573507294 1044.158935546875 
0.9325323782726942 573.5280151367188 
0.5226319855819535 1350.452392578125 
0.8501155124661006 659.9248046875 
0.8900101743969561 614.810546875 
0.982207407788938 533.3803100585938 
0.9919638751781019 526.3019409179688 
0.9992239478733962 521.983154296875 
0.8789035244083783 626.3601684570312 
0.8402703409460641 672.3516235351562 
0.9999296621714568 521.7661743164062 
0.9992239478733962 521.983154296875 
0.868271664488856 638.0771484375 
0.8283747733202975 686.7811279296875 
0.9707800557758701 542.8872680664062 
0.9491284642496935 558.9133911132812 
0.9998543860606445 521.777587890625 
0.9954115529519038 523.833984375 
