# sigma chi2 
0.3 64.45471483191132 
0.4721987501671921 201.58921148964637 
0.14004299364377062 8.766964472555795 
0.41063785843628564 149.57449688006292 
0.19435954393722768 15.933365387567683 
0.11842960747169906 8.50765624567656 
0.1302899073365138 8.498844142022866 
0.2348390716278829 29.315344546853442 
0.05139213879827284 12.423240857294722 
0.11155758020754887 8.772006842249795 
0.1302899073365138 8.498844142022866 
0.24547259732393492 33.88241528736023 
0.04570363503572702 12.826716422534961 
0.15134343796564356 9.488350035203968 
0.11047412433255914 8.827115771383426 
0.1344052927599847 8.544955018006089 
0.1262240541479767 8.438951472718717 
