# sigma_high  v_high  chi2 
0.3 300.0 1001.5986328125 
0.5441838696967988 300.0 1348.7344970703125 
0.10478310554705211 300.0 771.1011962890625 
0.3 509.98897032005596 187.25692749023438 
0.3 151.21974873475767 1936.9244384765625 
0.001551786753656248 601.6954738589836 332.4165954589844 
0.05540494057774842 994.0912497786828 3725.2255859375 
4.86698161608623e-05 898.8980704608589 3053.06787109375 
0.468771543149453 907.3978337874323 178.9482879638672 
0.2840272532199946 458.7956443882899 302.53857421875 
0.001437886355285023 944.3095951753869 3503.946044921875 
0.8771461496290069 998.7300420933436 130.7765350341797 
0.9669722789689749 101.92083223459737 2581.59228515625 
0.9923319377362179 512.3397456342052 1142.9732666015625 
0.9511351235042844 841.9343313112062 370.5360107421875 
0.27817546461140186 998.7300420933436 1332.5828857421875 
0.025588988712415273 998.7300420933436 3904.44287109375 
0.8771461496290069 877.2434682752007 234.8995819091797 
0.8771461496290069 827.3058112074443 311.5362854003906 
0.9549756636152393 896.8558539137085 291.70166015625 
0.9809291656254715 978.3475906456372 208.9651641845703 
0.8771461496290069 998.7300420933436 130.7765350341797 
0.26395226670196903 998.7300420933436 1462.275390625 
0.03088398469651804 998.7300420933436 3885.411865234375 
0.8771461496290069 867.193209124522 251.06826782226562 
0.8771461496290069 815.8248821313268 324.240234375 
0.9396863180107549 998.7300420933436 169.8014373779297 
0.7964309707327171 998.7300420933436 87.26612854003906 
0.8912182963421995 998.7300420933436 139.3002166748047 
0.862344181743433 998.7300420933436 123.25277709960938 
0.8771461496290069 128.32600169463086 2513.8662109375 
0.8771461496290069 156.60649558881153 2393.6826171875 
0.8771461496290069 911.0660586660598 201.42129516601562 
0.8771461496290069 866.7833904400932 251.41050720214844 
0.26395226670196903 867.193209124522 843.635986328125 
0.8985757218341455 985.6630088685729 152.37423706054688 
0.8870437701294186 146.80660969250886 2445.493896484375 
