# sigma_high  v_high  chi2 
0.3 300.0 317.829345703125 
0.5441838696967988 300.0 73.58804321289062 
0.10478310554705211 300.0 700.7852783203125 
0.3 509.98897032005596 2955.198974609375 
0.3 151.21974873475767 198.8929443359375 
0.3 420.88938184582304 1520.9686279296875 
0.3 201.1520248288117 57.78984832763672 
0.8292622435166854 220.91673969282022 286.40899658203125 
0.5835723064777318 257.5142381670962 66.77690124511719 
0.6980202568202934 257.5142381670962 106.69976043701172 
0.46436269563172383 257.5142381670962 57.444488525390625 
0.5835723064777318 395.88566949193785 285.2476501464844 
0.5835723064777318 156.22854912984275 404.551025390625 
0.5320973279944788 257.99461433250474 54.697364807128906 
0.32829882524575105 259.92186423739236 116.75328063964844 
0.5013006215534623 258.28043135531067 53.557037353515625 
0.5089060223693384 258.20987474918036 53.14482116699219 
0.6197347699514577 258.20987474918036 76.8117446899414 
0.3976322459913658 258.20987474918036 72.95336151123047 
0.5089060223693384 396.31025054269514 430.3782043457031 
0.5089060223693384 156.89705647548527 341.4580383300781 
0.48672837204463865 254.52787908025758 54.620845794677734 
0.5029272229417362 257.21390574840666 53.471885681152344 
0.507150270613713 257.91712313095934 53.262718200683594 
0.5089060223693384 258.20987474918036 53.14482116699219 
0.6197347699514577 258.20987474918036 76.8117446899414 
0.3976322459913658 258.20987474918036 72.95336151123047 
0.5089060223693384 409.9207493252622 510.45098876953125 
0.5089060223693384 150.09084105192176 384.51568603515625 
0.5312866875703705 258.20987474918036 54.98563003540039 
0.48650748438224756 258.20987474918036 54.537235260009766 
0.5133850235675792 258.20987474918036 53.11609649658203 
0.5044263061448487 258.20987474918036 53.43680191040039 
0.5089060223693384 276.04339878757935 58.293846130371094 
0.5089060223693384 241.13432545636306 64.27650451660156 
0.5089060223693384 261.71739639191844 54.840572357177734 
0.5089060223693384 254.73267839912762 53.76123809814453 
0.6197347699514577 409.9207493252622 281.4528503417969 
