# sigma_high  v_high  chi2 
0.3 300.0 270.0531005859375 
0.5441838696967988 300.0 68.71166229248047 
0.10478310554705211 300.0 582.3781127929688 
0.3 544.1838696967988 2690.98681640625 
0.3 104.78310554705212 536.4168090820312 
0.3 399.0468286474437 993.8720703125 
0.3 209.59241351119107 58.015403747558594 
0.8391919711194598 216.89989515859403 294.52392578125 
0.5764468461096866 258.32504619980966 68.73532104492188 
0.7059960943786328 258.32504619980966 112.59452819824219 
0.4413116616022996 258.32504619980966 59.403785705566406 
0.5764468461096866 376.67122137036046 189.3052520751953 
0.5764468461096866 155.63901159099174 378.0826416015625 
0.5283106332294374 263.4510376105704 57.039161682128906 
0.4192961924083162 275.14808089097244 83.31085205078125 
0.5129717812490244 265.08303096748307 56.24303436279297 
0.6341176672998504 265.08303096748307 77.99319458007812 
0.39104728065353944 265.08303096748307 81.43962097167969 
0.5129717812490244 380.35520976612077 284.3940734863281 
0.5129717812490244 164.12405682052085 295.2520751953125 
0.5193061428308876 266.06649823680715 56.501556396484375 
0.5140730903371412 265.25390803371306 56.57477569580078 
0.5129717812490244 265.08303096748307 56.24303436279297 
0.6341176672998504 265.08303096748307 77.99319458007812 
0.39104728065353944 265.08303096748307 81.43962097167969 
0.5129717812490244 395.9489834094897 347.58380126953125 
0.5129717812490244 152.44561387203854 352.4298095703125 
0.5374994224293429 265.08303096748307 56.4552116394043 
0.4884128447374 265.08303096748307 56.721492767333984 
0.5178817086932777 265.08303096748307 57.30401611328125 
0.508060601749835 265.08303096748307 55.94364929199219 
0.5129717812490244 284.5812332127703 65.28396606445312 
0.5129717812490244 246.03300637118681 65.35317993164062 
0.5129717812490244 268.9479957026355 56.58341979980469 
0.5129717812490244 261.2359960751048 57.60893630981445 
0.6341176672998504 395.9489834094897 181.86329650878906 
0.25546510481448703 895.9556749984794 6885.2607421875 
0.16172798025254193 164.4726632049493 79.48736572265625 
0.3936002343265081 231.80011170250165 56.34413146972656 
0.45344151299051394 248.3924303852834 56.688941955566406 
0.48523410402570244 257.27000546398784 58.01742935180664 
0.5044861156018919 262.6847389293244 57.226776123046875 
0.5109981670792061 264.52453872121816 56.187896728515625 
0.5116069575123192 264.696768125257 56.25430679321289 
