Nested Sampling Global Log-Evidence           :   -0.748101163129232418E+02  +/-    0.234881676652855365E+00
Nested Importance Sampling Global Log-Evidence:   -0.746894227038250449E+02  +/-    0.268195841395934775E+00

Dim No.       Mean        Sigma
   1    0.129983934371374299E+01    0.546105360162308817E+00
   2    0.940586332560589824E+02    0.116954911686494381E+02
   3    0.439708332196508866E+01    0.221116818519952074E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.115387163619014887E+01
   2    0.792806136587921202E+02
   3    0.437179854537189705E+01

MAP Parameters
Dim No.        Parameter
   1    0.115387163619014887E+01
   2    0.792806136587921202E+02
   3    0.437179854537189705E+01
