# sigma chi2 
0.3 64.67152309569397 
0.4721987501671921 187.391284234463 
0.14004299364377062 11.15883379605829 
0.4200862442353288 147.8821676010774 
0.18580475598860266 17.13629615749163 
0.10498454470854246 10.51846292812661 
0.11917457040912435 10.447124438456504 
0.22808670630411065 29.56065443738332 
0.04057099335738619 12.84790372545305 
0.09903087074729763 10.615134843252498 
0.11917457040912435 10.447124438456504 
0.23864592122142653 33.60308361626774 
0.03549620306174868 13.065201857051107 
0.14073449693983955 11.205786384547796 
0.0990644968141904 10.618081569949435 
0.12337477505781809 10.554325236803791 
0.1150323890437041 10.433647493476599 
