# sigma_high sigma_low vmax  chi2 
0.3 0.336 1650.0 570.0038294266731 
0.4721987501671921 0.336 1650.0 555.7545153301439 
0.14004299364377062 0.336 1650.0 578.1654367281806 
0.3 0.5053784897555368 1650.0 277.49257346253694 
0.3 0.17004919851153277 1650.0 1097.064865371782 
0.3 0.336 1860.308792001047 580.0403898744578 
0.3 0.336 1402.9659765660647 553.5767184455492 
0.4721987501671921 0.336 1650.0 555.7545153301439 
0.5973740128778937 0.336 1650.0 539.0516622510995 
0.6839506742049763 0.336 1650.0 528.4234457046632 
0.6999943720659377 0.336 1650.0 524.0423773056452 
0.6467865387549865 0.336 1650.0 532.4809905785498 
0.06990802588637027 0.336 1650.0 581.1662503542493 
0.06754568328421248 0.336 1650.0 572.277185055448 
0.6999943720659377 0.5053784897555368 1650.0 250.151882734376 
0.6999943720659377 0.17004919851153277 1650.0 1015.319070394212 
0.6999943720659377 0.336 1860.308792001047 548.6569923277812 
0.6999943720659377 0.336 1402.9659765660647 477.34661273537677 
0.6999943720659377 0.336 1402.9659765660647 477.34661273537677 
0.6999943720659377 0.336 1094.3754380595522 362.55741268569153 
0.6999943720659377 0.336 1523.3678646492385 506.3096307221294 
0.6999943720659377 0.336 1000.6098239871092 314.3133374471621 
0.6999943720659377 0.336 1001.850533593093 314.415207589694 
0.06990802588637027 0.336 1000.6098239871092 481.70150969637376 
0.06754568328421248 0.336 1000.6098239871092 482.7929052461276 
0.6999943720659377 0.5053784897555368 1000.6098239871092 141.04907167846176 
0.6999943720659377 0.17004919851153277 1000.6098239871092 672.126257964044 
0.6999943720659377 0.336 1913.0395537834638 551.9007194878179 
0.6999943720659377 0.336 1938.8168126377932 551.1267900280595 
0.6999995507234634 0.5699186907028013 1000.663141743716 106.27183233776995 
0.6999997460171806 0.5885004266367628 1000.6684713738994 99.34591410037108 
0.6999999891051405 0.6281663653196234 1000.6813635709901 84.35622140557905 
0.6999948682071953 0.6788451163850262 1000.7603482692998 71.9143919135254 
0.6999982948324195 0.69944908408659 1000.7278451787564 68.1220050138852 
0.06518374834840224 0.69944908408659 1000.7278451787564 107.59095623296332 
0.06645924557371427 0.69944908408659 1000.7278451787564 109.81509968181517 
0.6999982948324195 0.09976122308092115 1000.7278451787564 841.77109911856 
0.6999982948324195 0.07392979833955433 1000.7278451787564 889.2799479582964 
0.6999982948324195 0.69944908408659 1913.8105502158255 130.5345045632978 
0.6999982948324195 0.69944908408659 1941.633182086403 129.16088492416714 
0.6999764088300419 0.699873681784967 1000.835635894652 67.97020149382203 
0.6999982948324195 0.69944908408659 1000.7278451787564 68.1220050138852 
0.015653191581607422 0.69944908408659 1000.7278451787564 108.22536967560201 
0.016305854342975313 0.69944908408659 1000.7278451787564 109.40061586875984 
0.6999982948324195 0.03548846850647898 1000.7278451787564 936.1850851119606 
0.6999982948324195 0.020268519196581517 1000.7278451787564 943.6646962198788 
0.6999982948324195 0.69944908408659 1981.0847217043342 130.49436708048555 
0.6999982948324195 0.69944908408659 1992.9595135837412 128.21359581749817 
0.40179821844746905 0.69944908408659 1000.7278451787564 87.32484503898246 
0.4039581901837995 0.69944908408659 1000.7278451787564 86.61442500633993 
0.6999982948324195 0.43834233288466007 1000.7278451787564 190.6984154444015 
0.6999982948324195 0.3998575012742928 1000.7278451787564 229.9789414055145 
0.6999982948324195 0.6916984801085985 1000.7278451787564 69.76326420870228 
0.6999982948324195 0.6810621382699402 1000.7278451787564 71.98174179233956 
0.6999982948324195 0.69944908408659 1068.5862199955156 74.97878027168503 
0.6999982948324195 0.69944908408659 1098.3220759805783 76.85006598464459 
0.015653191581607422 0.03548846850647898 1000.7278451787564 1282.3120547111616 
0.015653191581607422 0.69944908408659 1981.0847217043342 135.67086375373376 
0.6999982948324195 0.03548846850647898 1981.0847217043342 1406.4155833714376 
