# sigma_high sigma_low vmax  chi2 
0.1 0.336 1500.0004768370065 66.14276014629544 
0.3441447509765068 0.336 1500.0004768370065 68.56933302728558 
0.001307188175140972 0.336 1500.0004768370065 65.71216613395258 
0.1 0.336 1952.0819070455632 65.69414535977101 
0.1 0.336 1951.5054322594958 65.90244745850487 
0.1 0.336 1952.0819070455632 65.69414535977101 
0.1 0.336 1500.0233646568047 66.14276014629544 
0.1 0.336 1500.0042915221456 66.14276014629544 
0.1 0.336 1999.9995231629932 66.04499874474638 
0.1 0.336 1996.8529580868997 65.77025778381885 
0.1 0.336 1988.2447240667532 63.86878245295312 
0.1 0.336 1733.8342847098932 64.2678601745404 
0.1 0.336 1894.4643267553188 65.60159281325838 
0.3441447509765068 0.336 1988.2447240667532 66.11820090209088 
0.001307188175140972 0.336 1988.2447240667532 65.82112087859895 
0.1 0.336 1714.620131858045 65.67447870282686 
0.1 0.336 1578.1775646070378 66.82543985953033 
0.09282128735893624 0.336 1999.4929486084127 65.1791992905074 
0.1 0.336 1988.2447240667532 63.86878245295312 
0.4122179290550871 0.336 1988.2447240667532 65.07342680057532 
0.021963502527025253 0.336 1988.2447240667532 64.71079595372987 
0.1 0.336 1638.5660269014707 64.47174482819221 
0.1 0.336 1529.776078515415 66.40124046622715 
0.1587621146484924 0.336 1988.2447240667532 64.84314199519895 
0.05210024419630038 0.336 1988.2447240667532 64.91596262931711 
0.1 0.336 1912.6432806526886 66.78273322379428 
0.1 0.336 1773.1128861676145 66.87180629151491 
0.4122179290550871 0.336 1638.5660269014707 67.92528422124899 
