# mono(%)  quad(%)
#redshift_space:
-20.3065426930035 -31.233082261237737
-19.188292356432044 -34.69761088312957
-18.891016990509936 -53.58982383257542
-17.76340050873771 -140.0761118811897
-16.884726191640404 27.70024639276961
-17.103749081738126 -2.750363072900464
-17.247692913279117 -8.362825845979001
-16.0489366951068 -7.541458656744829
-16.555511057327145 -9.612842614735474
-15.919575090994996 -10.622620535667489
-15.899802648051775 -14.262922398461713
-16.04822127195849 -11.846445297706449
-16.30760155702246 -10.82663642339205
-16.613904608381453 -12.272279025259927
-15.817520677189151 -12.075278771030638
-15.861524168353306 -10.397331942203667
-15.528768179118742 -9.777032938771782
-15.738534086632477 -14.02979233546188
-14.560459446472072 -10.31311355316968
-14.840339819932021 -11.89206256023093
# mono(%)  quad(%)
#real_space:
-19.052862576320486 -70.42540133532457
-18.75464775800514 -71.19340357244714
-18.21780318517136 -45.51472561695027
-17.848906871630707 22.71683175916359
-17.31128409437563 -14.545563301445336
-18.150074815914742 -30.35501223365445
-18.27135208454464 -22.90000719881828
-16.836047100091008 -79.96428982752906
-17.340770203114502 -428.96729972370434
-17.520352603157654 -84.95070185969294
-17.119181101476304 -44.45845080119164
-17.364450829116794 40.054381658759056
-17.60850525994991 -29.06564050247348
-18.027253942013523 -2919.089512525405
-17.531603517296542 -191.52961941755478
-18.319363204042453 52.173736353409716
-17.64227860443097 -598.1487070877495
-17.520241248049853 394.82015938879925
-17.727775015326838 -41.93989648877572
-17.37614093740634 -178.53657611558953
