#the best-fit parameters: sigma 0.2898,Vsmear 109.498 km/s, Vceil 5.10689 (mean Vceil:553.416km/s)
#its chi2: 49.3857
2.612412173683032357e+00 8.563272845222293927e-01 1.377806778253689135e+00
2.014624255664548613e+00 3.846464897098161306e-01 9.210299480235464298e-01
1.577978169347250548e+00 1.130294296940192178e-01 5.962220124534496346e-01
1.272036029036359261e+00 -4.952028193074648615e-02 3.997175811676879631e-01
1.041473972611954846e+00 -1.030362882227252863e-01 2.728067813177893486e-01
8.776733818346649230e-01 -1.768595487210417594e-01 2.087536095027421601e-01
7.420011029874802322e-01 -1.925816969010033242e-01 1.440387431712423505e-01
6.280164238138977728e-01 -1.979626390059932572e-01 7.871363380902815510e-02
5.460805998460975808e-01 -1.886954315397464388e-01 8.446740893744610068e-02
4.796656881615509183e-01 -1.921212673772048074e-01 5.243636656735210094e-02
4.136404892166761771e-01 -1.637130309132560912e-01 4.071628146144885829e-02
3.690796642915260550e-01 -1.726258913446407361e-01 4.042599875575175056e-02
3.270570467464551934e-01 -1.645218295971661859e-01 1.555541935347122887e-02
2.964180786236632614e-01 -1.500400531227844003e-01 1.092401809430286128e-02
2.655398230652489255e-01 -1.458527697478381735e-01 1.652178462111992055e-02
2.369038733599508340e-01 -1.396791295666127142e-01 2.258003398329567341e-02
2.139959313019071663e-01 -1.265701387946306100e-01 1.301110279356769081e-02
1.914970850057622631e-01 -1.204338541414849278e-01 1.866155711910158499e-02
1.764677194761020140e-01 -1.178274736671101885e-01 1.479868545634940337e-02
1.575754887668618653e-01 -1.092294056411976522e-01 8.489211306088687362e-03
