# sigma chi2 
0.3 8.837098691705133 
0.4721987501671921 50.393171449674 
0.14004299364377062 70.5966918862124 
0.3372400304049271 10.33104965953093 
0.2633306187485414 13.184760215747595 
0.3090596689187542 8.686923369633337 
0.30795796442499457 8.685479369495935 
0.3411946913440618 10.83832023820187 
0.2751023796478086 11.160878954546082 
0.30911586958311643 8.68625092440254 
0.30795796442499457 8.685479369495935 
0.3411946913440618 10.83832023820187 
0.2751023796478086 11.160878954546082 
0.3145844280253264 8.766871903742686 
0.3013467575806621 8.787009123558828 
0.30928211348066786 8.697196037583264 
0.3066344256572791 8.692169692468081 
