# s wp wperr
5.011872336272723771e+00 3.904620531429470276e+01 9.478210860890675660e-01
6.309573444801935160e+00 3.252102471270683282e+01 6.354664273069380309e-01
7.943282347242819341e+00 2.639288430412421604e+01 5.502056328467638258e-01
1.000000000000000711e+01 2.133464019458496352e+01 3.620122773911872427e-01
1.258925411794167104e+01 1.652798744845878431e+01 4.357028231940714980e-01
1.584893192461113642e+01 1.254830111442830365e+01 2.050865977471385826e-01
1.995262314968880091e+01 9.287103560323004103e+00 2.204388727836945616e-01
2.511886431509581286e+01 6.466924468536549675e+00 1.824631289392112665e-01
3.162277660168381388e+01 4.395099118419682149e+00 1.343692474684129445e-01
