# s wp wperr
5.011872336272723771e+00 4.000275600109647911e+01 1.820331622938532901e+00
6.309573444801935160e+00 3.263481680210061597e+01 1.719771216643141809e+00
7.943282347242819341e+00 2.652018262877255950e+01 1.315539966930041604e+00
1.000000000000000711e+01 2.133645782365591259e+01 1.012624783528419448e+00
1.258925411794167104e+01 1.677323105642468803e+01 7.782336016533052403e-01
1.584893192461113642e+01 1.275382013083551058e+01 6.145706364603789051e-01
1.995262314968880091e+01 9.675726665521741765e+00 5.516733267880074010e-01
2.511886431509581286e+01 6.949975729814958036e+00 3.851877301287499611e-01
