# s wp wperr
5.011872336272723771e+00 4.004759621190014229e+01 1.030118537274967494e+00
6.309573444801935160e+00 3.302727137114881373e+01 8.042742821910160433e-01
7.943282347242819341e+00 2.698068844792869925e+01 9.113615418946533486e-01
1.000000000000000711e+01 2.143605112068702923e+01 6.338842609348734891e-01
1.258925411794167104e+01 1.654063251779746935e+01 4.137547017162712115e-01
1.584893192461113642e+01 1.267012565535646118e+01 3.919734395441363817e-01
1.995262314968880091e+01 9.342615231276688803e+00 2.594841393978568611e-01
2.511886431509581286e+01 6.587235583402532235e+00 2.448696449042609413e-01
