# s wp wperr
5.011872336272723771e+00 4.030020954555262591e+01 1.171621988670938252e+00
6.309573444801935160e+00 3.348096120554252053e+01 9.482906794421377406e-01
7.943282347242819341e+00 2.733100051354875859e+01 9.967960511866829076e-01
1.000000000000000711e+01 2.182168238903325985e+01 6.602384804977663446e-01
1.258925411794167104e+01 1.699055951315814283e+01 5.083856403614747110e-01
1.584893192461113642e+01 1.310755980325621017e+01 4.342169587780854156e-01
1.995262314968880091e+01 9.776161840334806286e+00 3.119770936259572136e-01
2.511886431509581286e+01 6.985910312978402814e+00 2.562798973336673503e-01
