bin_min	bin_max	MD	UNIT
100000000.0	137331515.9457556	0	0
137331515.9457556	188599452.719594	0	0
188599452.719594	259006487.485217	0	0
259006487.485217	355697535.6613037	2	0
355697535.6613037	488484817.905363	8	11
488484817.905363	670843605.5943015	32	27
670843605.5943015	921279693.18782	18	283
921279693.18782	1265207368.7552443	1650	84
1265207368.7552443	1737528459.368983	42	18354
1737528459.368983	2386174173.2403665	158	1062
2386174173.2403665	3276969165.2170954	7173	34805
3276969165.2170954	4500311431.667627	13124	2755
4500311431.667627	6180345911.38929	19144	139714
6180345911.38929	8487562730.802471	53164	108833
8487562730.802471	11656098565.058004	123701	274069
11656098565.058004	16007496859.525688	204179	725717
16007496859.525688	21983338102.155846	566629	1831536
21983338102.155846	30190051471.171642	1159419	3024440
30190051471.171642	41460455350.1639	1690375	2445250
41460455350.1639	56938271850.393456	2099804	2231258
56938271850.393456	78194191885.46075	2384851	1921233
78194191885.46075	107385269097.8367	2481381	1579598
107385269097.8367	147473817954.48816	2347459	1134710
147473817954.48816	202528029819.9833	2183424	876805
202528029819.9833	278134813566.85504	1934293	632648
278134813566.85504	381966755844.2631	1611704	462352
381966755844.2631	524560736209.75165	1309309	329230
524560736209.75165	720387211093.0709	1023243	228632
720387211093.0709	989318677673.4647	781941	157406
989318677673.4647	1358646337583.4727	583773	106727
1358646337583.4727	1865849611744.8787	429542	71393
1865849611744.8787	2562399557077.2476	310872	47122
2562399557077.2476	3518982156321.5107	220816	31075
3518982156321.5107	4832671541136.97	154467	19734
4832671541136.97	6636781088122.537	106455	12400
6636781088122.537	9114392078319.932	70553	7630
9114392078319.932	12516932810396.621	46730	4574
12516932810396.621	17189693578429.348	29698	2604
17189693578429.348	23606866777687.32	18264	1460
23606866777687.32	32419668013093.08	10921	760
32419668013093.08	44522421546961.945	6110	422
44522421546961.945	61143316446202.56	3264	207
61143316446202.56	83969043375080.83	1718	96
83969043375080.83	115315960192148.02	829	42
115315960192148.02	158365156259280.94	368	17
158365156259280.94	217485269820735.16	158	6
217485269820735.16	298675818003533.7	67	2
298675818003533.7	410176028627638.8	18	1
410176028627638.8	563300958160435.1	2	0
563300958160435.1	773589745178692.0	1	0
