# sigma chi2 
0.3 185.2044475198892 
0.4721987501671921 308.38701585114234 
0.14004299364377062 149.1337250040064 
0.1522641057768963 148.84976973557906 
0.30070026989836374 185.53306180602289 
0.04477102665237606 163.9842449587412 
0.1300897288111696 150.24663943415288 
0.1522641057768963 148.84976973557906 
0.30070026989836374 185.53306180602289 
0.04477102665237606 163.9842449587412 
0.17957409130101162 147.91057140613015 
0.1266197391159227 150.7359867903804 
0.1576000247061145 148.5616038600034 
0.14699485654902686 148.7822630230556 
