# Best-fit parameters: 1.833569514 104.0094672 2278.940775
# Maximum log likelihood: -14.99952588
# smin smax xi0 xi2
0 1 28.50374823 46.13900316
1 2 11.2130891 13.4744798
2 3 7.106046639 6.067166575
3 4 4.877226689 3.211907238
4 5 3.512969688 1.809764374
5 6 2.622978404 0.9524215442
6 7 2.003743329 0.459097398
7 8 1.577088996 0.169396189
8 9 1.273500552 -0.009597915816
9 10 1.0393796 -0.1165496483
10 11 0.868053726 -0.1704361911
11 12 0.7257096282 -0.1740784884
12 13 0.6265183103 -0.1947546719
13 14 0.5427041769 -0.1756577129
14 15 0.4705952107 -0.1898392996
15 16 0.4125674115 -0.1739557424
16 17 0.3638314628 -0.1623959891
17 18 0.3255942501 -0.1576626624
18 19 0.2899266257 -0.1513317504
19 20 0.2547394892 -0.1448343515
20 21 0.2370576639 -0.1422389973
21 22 0.2102003021 -0.1245396534
22 23 0.1912497672 -0.1219546974
23 24 0.1731986557 -0.1139621995
24 25 0.1571673232 -0.1098673983
