# Best-fit parameters: 2.174658632 103.3026209 2729.930913
# Maximum log likelihood: -14.79885597
# smin smax xi0 xi2
0 1 28.71493894 46.2088099
1 2 11.31694387 13.8838802
2 3 7.156493002 6.154247005
3 4 4.908729669 3.238256725
4 5 3.538036933 1.830541257
5 6 2.627173654 0.9330239835
6 7 2.00369536 0.4593266427
7 8 1.577269234 0.1619731037
8 9 1.279068545 -0.01961152694
9 10 1.047337467 -0.1081189723
10 11 0.870845144 -0.1691374796
11 12 0.7333617621 -0.1707337275
12 13 0.6269339718 -0.1914968659
13 14 0.5395931901 -0.1887667692
14 15 0.4738842041 -0.1812498791
15 16 0.4142601142 -0.1770043319
16 17 0.3652631294 -0.1698990085
17 18 0.3268073549 -0.1556790538
18 19 0.2911663885 -0.1463074873
19 20 0.25777928 -0.1448015145
20 21 0.2336678295 -0.1435696769
21 22 0.2118342162 -0.1292001905
22 23 0.193071898 -0.1213814863
23 24 0.17440824 -0.1126555157
24 25 0.1585023177 -0.1052134456
