# Best-fit parameters: 3.656436873 94.86616064 4716.212749
# Maximum log likelihood: -14.78495801
# smin smax xi0 xi2
0 1 29.65920509 47.51981922
1 2 11.49738428 13.96339363
2 3 7.227032409 6.264796985
3 4 4.967893802 3.298468199
4 5 3.538569571 1.8133688
5 6 2.634961647 0.9173100549
6 7 2.014296469 0.4041720122
7 8 1.588155601 0.1479827562
8 9 1.278806522 -0.02634890115
9 10 1.050964216 -0.09635957872
10 11 0.8744463799 -0.166431099
11 12 0.7344410403 -0.1833664972
12 13 0.6281506479 -0.1952117683
13 14 0.5389917822 -0.1899133007
14 15 0.4730442557 -0.1900286027
15 16 0.4141728034 -0.1792020022
16 17 0.3656235316 -0.1622394339
17 18 0.3284049409 -0.1649725507
18 19 0.2891436177 -0.1460284725
19 20 0.2603509999 -0.1406052735
20 21 0.2345986249 -0.1381942527
21 22 0.2123115065 -0.1253690975
22 23 0.1918366457 -0.1182042021
23 24 0.1763690654 -0.1176150357
24 25 0.1580445409 -0.1040688894
