# sigma chi2 
0.3 68.29612838951141 
0.4721987501671921 104.62565068573835 
0.14004299364377062 139.32038415042484 
0.3992803336857334 79.65643940021043 
0.20474276643215733 97.21367231819974 
0.3215712161069536 67.63328338673821 
0.31648991237558377 67.59506344883049 
0.4081150151811693 82.15691333074702 
0.2271642105436133 86.42581108819662 
0.3224074601704607 67.65440173600305 
0.31648991237558377 67.59506344883049 
0.4081150151811693 82.15691333074702 
0.2271642105436133 86.42581108819662 
0.3348326390893698 68.21755955712561 
0.2982396712229518 68.39431586629863 
0.3201526760711751 67.62813074114057 
0.31283084891954865 67.60175654447882 
