# sigma chi2 
0.3 68.47292413537299 
0.4721987501671921 105.2077835487575 
0.14004299364377062 137.52006350316245 
0.4001372905671534 80.43729879135151 
0.20395555733321935 97.01951626422728 
0.3204286292539902 67.99996682826051 
0.31414725962948387 67.97416541053373 
0.31621534039056814 67.92250100628802 
0.4085957676451758 82.81456514045507 
0.22619158457585684 86.39709202709895 
0.3211895110227067 67.97908226214747 
0.31621534039056814 67.92250100628802 
0.4085957676451758 82.81456514045507 
0.22619158457585684 86.39709202709895 
0.3347095914708811 68.71194592623922 
0.29781588711813817 68.6084744965203 
0.31990826447426357 68.0423810485343 
0.3125262090706944 67.97005899350734 
