#the best-fit parameters: sigma 1.154,Vsmear 79.2806 km/s, Vceil 4.3718(mean Vceil:1164.705 km/s)
#its chi2: 133.916
2.759123217476665779e+00 8.334603042989512378e-01 1.688114302647020448e+00
2.087920607235550285e+00 3.527727101889100991e-01 1.071826726389034867e+00
1.642791704059571645e+00 6.588880863006815747e-02 6.980018827651539581e-01
1.320912716151257937e+00 -7.116123160200557574e-02 4.513613540885261233e-01
1.086793352756820541e+00 -1.665510941444406645e-01 3.222134590566423928e-01
9.030814204900534659e-01 -2.030519535431923317e-01 2.710111346360440931e-01
7.616966519668270097e-01 -2.017345271817637398e-01 1.720886325376872750e-01
6.600093742651210738e-01 -2.060089730042612977e-01 1.010082152360046309e-01
5.664505095295292447e-01 -1.961432943299311338e-01 1.000033373862476288e-01
4.884030826486247534e-01 -1.916289931887585340e-01 8.607946808193198129e-02
4.328925175640169210e-01 -1.829730174583244495e-01 6.187613833384214557e-02
3.827886177479667418e-01 -1.737636995869818179e-01 2.889571549059475469e-02
3.402421032726487549e-01 -1.550414855593421903e-01 2.441542506831000450e-02
3.019792151488206455e-01 -1.587799742909155043e-01 3.261359776041485720e-02
2.727077137634383308e-01 -1.460468566703041760e-01 2.873894884312210365e-02
2.441795369414665462e-01 -1.442925842327477670e-01 2.050710355243695604e-02
2.155727461897667396e-01 -1.277866714515897562e-01 1.856621532346077255e-02
1.962556137053459993e-01 -1.197675297281426687e-01 1.957864346075996465e-02
1.837583137485337414e-01 -1.194878069586358532e-01 1.519042084457905561e-02
1.622688286184878481e-01 -1.073579929720369919e-01 1.200545131089099035e-02
1.520512313469122023e-01 -1.053836101577381862e-01 1.046175500768151308e-02
1.347934648277865910e-01 -9.585982061117873099e-02 1.333020497695428831e-02
1.253949234104913268e-01 -8.591283143099481823e-02 9.815445704359961748e-03
1.151832379648327354e-01 -8.548506219308610321e-02 4.855281348402124345e-03
1.065323309132699264e-01 -8.253813456386582814e-02 1.089187009655214963e-02
9.816600486846104034e-02 -7.574310809298248626e-02 6.401329091933310664e-03
8.951535795287954289e-02 -6.941850895401510679e-02 6.304562782170607463e-03
8.339784261682212096e-02 -6.900653482198301769e-02 7.192827583423332810e-04
7.581585166645557483e-02 -6.152948957706654010e-02 -3.529909309366771695e-03
7.283616778111122458e-02 -6.496639025122258326e-02 2.862525520300744533e-04
