#the best-fit parameters: sigma 0.5931,Vsmear 112.097 km/s, Vceil_index 4.84176 (741.848km/s)
#its chi2: 27.1104
2.594437309316803386e+00 9.525904333643431254e-01
2.005150414411097870e+00 4.785221537241388101e-01
1.583926018750772879e+00 1.513250420227900128e-01
1.275475083701250067e+00 -7.612116410249230788e-03
1.046869136914915233e+00 -1.037545780118361571e-01
8.719218337869945046e-01 -1.669329819015468730e-01
7.378885925656144540e-01 -1.877338882217483573e-01
6.294322709918042102e-01 -1.912660008395613842e-01
5.442206901046360290e-01 -1.909019904861793682e-01
4.724633718219295453e-01 -1.735428417931778322e-01
4.144812075930467410e-01 -1.691273211779077967e-01
3.692437094239936490e-01 -1.731155470351997683e-01
3.262748261983953735e-01 -1.598523965589943308e-01
2.893176195083421720e-01 -1.446010306595386097e-01
2.627100412626117154e-01 -1.419099585116174178e-01
2.382783264070565399e-01 -1.291013512832457077e-01
2.115318835244999196e-01 -1.249421983239527023e-01
1.915131272432661347e-01 -1.144937498959183453e-01
1.722948377316693425e-01 -1.173461441470900202e-01
1.568397760333637980e-01 -1.056169757392298736e-01
