# sigma chi2 
0.3 78.36287916825681 
0.4721987501671921 227.06316259045144 
0.14004299364377062 13.52122700319392 
0.42001733487385096 179.14199689476172 
0.18586687200217972 20.780490402591766 
0.10502573030417096 12.745266083632394 
0.1192037703531216 12.655083799417813 
0.22810469459936067 35.83040374307482 
0.04059833480308878 15.572260775107438 
0.09905436954023056 12.863652829651485 
0.1192037703531216 12.655083799417813 
0.2386641141525882 40.72308186159164 
0.03552187596448251 15.828476761683373 
0.14076248277191267 13.580140990225772 
0.0990943169698667 12.864921831796098 
0.12340377830804845 12.782110792399799 
0.11506176190524924 12.643186946693307 
