# sigma_high sigma_low vmax  chi2 
0.3 0.336 1650.0 66.05199085489708 
0.4721987501671921 0.336 1650.0 67.93252618711355 
0.14004299364377062 0.336 1650.0 68.26813981492182 
0.3 0.5053784897555368 1650.0 136.2553936903841 
0.3 0.17004919851153277 1650.0 144.68483756241432 
0.3071047504538474 0.34095289475319496 1650.0 67.9531280632743 
0.3 0.336 1650.0 66.05199085489708 
0.48823092940672613 0.336 1650.0 67.68291338655969 
0.12648298076723594 0.336 1650.0 66.98798685453642 
0.3 0.5053784897555368 1650.0 136.2553936903841 
0.3 0.17004919851153277 1650.0 144.68483756241432 
0.33828546689939293 0.336 1650.0 67.0546491429554 
0.262317510426661 0.336 1650.0 66.73881350695379 
0.3 0.3807535640291123 1650.0 74.80523057685843 
0.3 0.291475468446184 1650.0 69.87495767616235 
0.3 0.3449558408425804 1650.0 67.00847407991654 
0.3 0.3270533324723053 1650.0 65.86136011647608 
0.48823092940672613 0.5053784897555368 1650.0 140.29134348660142 
