# sigma_high sigma_low vmax  chi2 
0.1 0.3 1800.0 67.99598260158386 
0.1 0.4721987501671921 1800.0 113.90861298137398 
0.1 0.14004299364377062 1800.0 179.12834942495738 
0.1 0.33617011677898057 1800.0 65.60235930780794 
0.1 0.327946463471708 1800.0 65.70637518227734 
0.1 0.4759366589029667 1800.0 116.10808749033406 
0.1 0.1986695852112917 1800.0 121.63882980115889 
0.1 0.34038672699603384 1800.0 65.88761674804724 
0.1 0.33617011677898057 1800.0 65.60235930780794 
0.1 0.4759366589029667 1800.0 116.10808749033406 
0.1 0.1986695852112917 1800.0 121.63882980115889 
0.1 0.38105881939361713 1800.0 73.90972664365981 
0.1 0.29150903959953983 1800.0 69.68769887129724 
0.1 0.3451533127309122 1800.0 66.27662398017745 
0.1 0.32719603785929835 1800.0 65.73695773037736 
