# Best-fit parameters: 0.8938563861 108.3703711 1325.681839
# Maximum log likelihood: -15.97361227
# smin smax xi0 xi2
0 1 28.11081167 45.4963095
1 2 11.25558833 13.44586121
2 3 7.144522679 5.948343578
3 4 4.931341564 3.346184188
4 5 3.528049983 1.813017159
5 6 2.610883585 0.9298331999
6 7 1.993805789 0.4611173817
7 8 1.576884726 0.1467170202
8 9 1.270127003 -0.02387678756
9 10 1.038154448 -0.1095603187
10 11 0.8754433149 -0.158656573
11 12 0.736456375 -0.1836644855
12 13 0.6283996118 -0.1840750438
13 14 0.5430030246 -0.1857615284
14 15 0.4728736915 -0.1769204615
15 16 0.4120688951 -0.1687321638
16 17 0.3647722368 -0.1615704847
17 18 0.32667588 -0.1594604388
18 19 0.2915094488 -0.1489600759
19 20 0.2609774673 -0.142738115
20 21 0.2351123338 -0.1369876149
21 22 0.2109125774 -0.1237980915
22 23 0.1930190923 -0.1206264768
23 24 0.1738199923 -0.1126145432
24 25 0.1584307196 -0.1078200197
