Nested Sampling Global Log-Evidence           :   -0.442366735607113384E+02  +/-    0.210446772572740803E+00
Nested Importance Sampling Global Log-Evidence:   -0.445875719706517728E+02  +/-    0.112768054417847208E+00

Dim No.       Mean        Sigma
   1    0.669200624306234060E+00    0.594365174219372849E+00
   2    0.109240680212264209E+03    0.171604881901571495E+02
   3    0.487755556854966432E+01    0.329913709876266614E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.157332268118356294E+00
   2    0.122580896816556233E+03
   3    0.522668761945057625E+01

MAP Parameters
Dim No.        Parameter
   1    0.157332268118356294E+00
   2    0.122580896816556233E+03
   3    0.522668761945057625E+01
