# the best-fit parameters: sigma 0.1573,Vsmear 122.581 km/s, Vceil 5.22669 (mean Vceil:493.538km/s)
# its chi2: 73.0254
2.571776260572042450e+00 8.783879594777959099e-01 1.199623613245473397e+00
1.986322653945378658e+00 3.974805590490918528e-01 7.989781739343497780e-01
1.585638278427544678e+00 1.257214442462725179e-01 5.256478688288516166e-01
1.261831160704213417e+00 -3.260495635600352271e-02 3.485531397034637435e-01
1.044328913722271546e+00 -1.261344788209076695e-01 2.292089138059486830e-01
8.787592741060651358e-01 -1.671636681060647278e-01 1.794182105328227805e-01
7.382952400513584923e-01 -1.819201429075336385e-01 1.093720881132132366e-01
6.308740970170115814e-01 -1.776565909834064427e-01 5.704736669595576737e-02
5.467209879307326492e-01 -1.666082529051043370e-01 6.356690763811248535e-02
4.775320260823868734e-01 -1.616594761625390064e-01 4.038860102596956297e-02
4.131461975079558369e-01 -1.663495905668712083e-01 3.554881140549791263e-02
3.708394211670876794e-01 -1.591286314517813827e-01 3.371151218381366471e-02
3.264935827923442502e-01 -1.621345800768929091e-01 1.498825760823584499e-02
2.939355872788328994e-01 -1.473584533946616093e-01 2.162181627979377699e-02
2.628355127198984675e-01 -1.378312132588433436e-01 2.381587306460743181e-02
2.379401481529356543e-01 -1.375077342386933910e-01 1.889075253272376465e-02
2.133546639658974731e-01 -1.283556160617464470e-01 1.252348873742302818e-02
1.939615737422934472e-01 -1.158315897337326705e-01 1.365761797050175051e-02
1.782343006903750471e-01 -1.166184215375174749e-01 1.931792095624364214e-02
1.589505104963652715e-01 -1.084979817024447762e-01 9.087710860366844320e-03
1.454642719771177539e-01 -9.723957834173906079e-02 9.989687229473132035e-03
1.342788074641451668e-01 -9.761609112345938366e-02 1.511213986821932122e-02
1.211286161955354157e-01 -9.012443973729374058e-02 8.433964730396210647e-05
1.115685110896723897e-01 -8.392433051090315843e-02 4.280741510522443130e-03
9.859471351284915253e-02 -8.045645252415176141e-02 8.791639986237682197e-03
9.256289992772245845e-02 -7.693704740954673826e-02 5.847274395514826147e-03
8.779743140887161235e-02 -7.627329728288224919e-02 3.167777374310573515e-03
8.042487342028664665e-02 -7.095051375598263044e-02 5.727744381120547339e-03
7.497450968343714883e-02 -6.668769833012601345e-02 1.921956067724411204e-03
6.923655877794263058e-02 -6.488755595298958956e-02 -2.534970287471353576e-04
