# sigma chi2 
0.3 207.45475923233266 
0.4721987501671921 334.1643127935042 
0.14004299364377062 167.91732357884553 
0.1466019285550082 167.7181131870686 
0.30344994848435575 209.3875934876788 
0.03699635925124477 182.14891373841087 
0.12010798607241133 170.01203005648335 
0.1466019285550082 167.7181131870686 
0.30344994848435575 209.3875934876788 
0.03699635925124477 182.14891373841087 
0.17524837924318235 167.31868948662424 
0.1198814071594267 170.10155330848022 
0.15218557743448646 167.84111600191693 
0.14109537527605467 167.8664504510713 
