sim analy
1.8287473057959182e-07 2.144660584850632e-09
1.6852114285714285e-11 2.144660584850632e-09
1.8590824489795918e-11 2.144660584850632e-09
1.992829387755102e-11 2.144660584850632e-09
1.7320228571428572e-11 2.144660584850632e-09
1.785521632653061e-11 2.144660584850632e-09
1.899206530612245e-11 2.144660584850632e-09
1.8523951020408162e-11 2.144660584850632e-09
1.4845910204081632e-11 2.144660584850632e-09
1.9995167346938775e-11 2.144660584850632e-09
1.665149387755102e-11 2.144660584850632e-09
1.6584620408163265e-11 2.144660584850632e-09
1.5915885714285714e-11 2.144660584850632e-09
1.6183379591836734e-11 2.144660584850632e-09
1.912581224489796e-11 2.144660584850632e-09
2.006204081632653e-11 2.144660584850632e-09
1.7520848979591836e-11 2.144660584850632e-09
1.8323330612244898e-11 2.144660584850632e-09
1.952705306122449e-11 2.144660584850632e-09
1.5915885714285714e-11 2.144660584850632e-09
1.9460179591836736e-11 2.144660584850632e-09
1.992829387755102e-11 2.144660584850632e-09
1.845707755102041e-11 2.144660584850632e-09
1.6584620408163265e-11 2.144660584850632e-09
1.8791444897959185e-11 2.144660584850632e-09
1.7453975510204083e-11 2.144660584850632e-09
1.7988963265306123e-11 2.144660584850632e-09
1.8122710204081634e-11 2.144660584850632e-09
1.6116506122448978e-11 2.144660584850632e-09
1.7988963265306123e-11 2.144660584850632e-09
1.6718367346938777e-11 2.144660584850632e-09
1.979454693877551e-11 2.144660584850632e-09
1.845707755102041e-11 2.144660584850632e-09
1.8256457142857142e-11 2.144660584850632e-09
1.8323330612244898e-11 2.144660584850632e-09
1.899206530612245e-11 2.144660584850632e-09
1.7520848979591836e-11 2.144660584850632e-09
1.7988963265306123e-11 2.144660584850632e-09
1.7654595918367347e-11 2.144660584850632e-09
1.758772244897959e-11 2.144660584850632e-09
1.8256457142857142e-11 2.144660584850632e-09
1.9192685714285713e-11 2.144660584850632e-09
2.0797648979591837e-11 2.144660584850632e-09
1.7387102040816327e-11 2.144660584850632e-09
1.7320228571428572e-11 2.144660584850632e-09
1.8189583673469387e-11 2.144660584850632e-09
1.7453975510204083e-11 2.144660584850632e-09
2.186762448979592e-11 2.144660584850632e-09
1.758772244897959e-11 2.144660584850632e-09
1.8657697959183673e-11 2.144660584850632e-09
1.718648163265306e-11 2.144660584850632e-09
1.8323330612244898e-11 2.144660584850632e-09
1.778834285714286e-11 2.144660584850632e-09
1.678524081632653e-11 2.144660584850632e-09
1.6317126530612246e-11 2.144660584850632e-09
1.5915885714285714e-11 2.144660584850632e-09
1.778834285714286e-11 2.144660584850632e-09
1.8122710204081634e-11 2.144660584850632e-09
1.7520848979591836e-11 2.144660584850632e-09
1.7320228571428572e-11 2.144660584850632e-09
1.7320228571428572e-11 2.144660584850632e-09
1.6450873469387754e-11 2.144660584850632e-09
1.625025306122449e-11 2.144660584850632e-09
1.6584620408163265e-11 2.144660584850632e-09
1.8189583673469387e-11 2.144660584850632e-09
1.6718367346938777e-11 2.144660584850632e-09
1.8122710204081634e-11 2.144660584850632e-09
1.899206530612245e-11 2.144660584850632e-09
1.7654595918367347e-11 2.144660584850632e-09
1.8590824489795918e-11 2.144660584850632e-09
1.7119608163265305e-11 2.144660584850632e-09
1.8323330612244898e-11 2.144660584850632e-09
1.7320228571428572e-11 2.144660584850632e-09
1.7721469387755103e-11 2.144660584850632e-09
1.8590824489795918e-11 2.144660584850632e-09
1.9058938775510205e-11 2.144660584850632e-09
1.718648163265306e-11 2.144660584850632e-09
1.778834285714286e-11 2.144660584850632e-09
1.665149387755102e-11 2.144660584850632e-09
1.912581224489796e-11 2.144660584850632e-09
1.8523951020408162e-11 2.144660584850632e-09
1.939330612244898e-11 2.144660584850632e-09
1.8791444897959185e-11 2.144660584850632e-09
1.845707755102041e-11 2.144660584850632e-09
1.8189583673469387e-11 2.144660584850632e-09
1.7119608163265305e-11 2.144660584850632e-09
1.7320228571428572e-11 2.144660584850632e-09
1.7119608163265305e-11 2.144660584850632e-09
1.7922089795918367e-11 2.144660584850632e-09
1.8858318367346937e-11 2.144660584850632e-09
1.7721469387755103e-11 2.144660584850632e-09
1.9192685714285713e-11 2.144660584850632e-09
1.6985861224489796e-11 2.144660584850632e-09
2.0931395918367345e-11 2.144660584850632e-09
2.032953469387755e-11 2.144660584850632e-09
1.8791444897959185e-11 2.144660584850632e-09
1.718648163265306e-11 2.144660584850632e-09
1.8323330612244898e-11 2.144660584850632e-09
1.7654595918367347e-11 2.144660584850632e-09
1.9058938775510205e-11 2.144660584850632e-09
1.718648163265306e-11 2.144660584850632e-09
1.718648163265306e-11 2.144660584850632e-09
1.8390204081632654e-11 2.144660584850632e-09
1.651774693877551e-11 2.144660584850632e-09
2.119888979591837e-11 2.144660584850632e-09
1.7387102040816327e-11 2.144660584850632e-09
1.7119608163265305e-11 2.144660584850632e-09
1.5915885714285714e-11 2.144660584850632e-09
1.718648163265306e-11 2.144660584850632e-09
1.9727673469387755e-11 2.144660584850632e-09
1.6317126530612246e-11 2.144660584850632e-09
1.7119608163265305e-11 2.144660584850632e-09
1.8323330612244898e-11 2.144660584850632e-09
1.7922089795918367e-11 2.144660584850632e-09
2.0195787755102042e-11 2.144660584850632e-09
1.9727673469387755e-11 2.144660584850632e-09
1.7387102040816327e-11 2.144660584850632e-09
1.8055836734693878e-11 2.144660584850632e-09
1.952705306122449e-11 2.144660584850632e-09
1.9995167346938775e-11 2.144660584850632e-09
1.2130847346938776e-10 1.5012624093954423e-08
1.3227572244897958e-10 1.5012624093954423e-08
1.2926641632653062e-10 1.5012624093954423e-08
1.2712646530612246e-10 1.5012624093954423e-08
1.1963663673469387e-10 1.5012624093954423e-08
1.3100512653061226e-10 1.5012624093954423e-08
1.2812956734693877e-10 1.5012624093954423e-08
1.2405028571428571e-10 1.5012624093954423e-08
1.2204408163265306e-10 1.5012624093954423e-08
1.2679209795918367e-10 1.5012624093954423e-08
1.2231157551020407e-10 1.5012624093954423e-08
1.2679209795918367e-10 1.5012624093954423e-08
1.2966765714285713e-10 1.5012624093954423e-08
1.258558693877551e-10 1.5012624093954423e-08
1.2090723265306122e-10 1.5012624093954423e-08
1.224453224489796e-10 1.5012624093954423e-08
1.2538775510204082e-10 1.5012624093954423e-08
1.2518713469387756e-10 1.5012624093954423e-08
1.2759457959183673e-10 1.5012624093954423e-08
1.2191033469387756e-10 1.5012624093954423e-08
1.2940016326530612e-10 1.5012624093954423e-08
1.233146775510204e-10 1.5012624093954423e-08
1.2431777959183672e-10 1.5012624093954423e-08
1.2324780408163266e-10 1.5012624093954423e-08
1.2130847346938776e-10 1.5012624093954423e-08
1.2191033469387756e-10 1.5012624093954423e-08
1.2933328979591837e-10 1.5012624093954423e-08
1.3133949387755102e-10 1.5012624093954423e-08
1.258558693877551e-10 1.5012624093954423e-08
1.2866455510204082e-10 1.5012624093954423e-08
1.2752770612244897e-10 1.5012624093954423e-08
1.2906579591836736e-10 1.5012624093954423e-08
1.2619023673469387e-10 1.5012624093954423e-08
1.2485276734693877e-10 1.5012624093954423e-08
1.3160698775510203e-10 1.5012624093954423e-08
1.2157596734693877e-10 1.5012624093954423e-08
1.252540081632653e-10 1.5012624093954423e-08
1.2826331428571428e-10 1.5012624093954423e-08
1.2130847346938776e-10 1.5012624093954423e-08
1.277952e-10 1.5012624093954423e-08
1.265914775510204e-10 1.5012624093954423e-08
1.2251219591836735e-10 1.5012624093954423e-08
1.2478589387755102e-10 1.5012624093954423e-08
1.2685897142857142e-10 1.5012624093954423e-08
1.2866455510204082e-10 1.5012624093954423e-08
1.2986827755102041e-10 1.5012624093954423e-08
1.2792894693877551e-10 1.5012624093954423e-08
1.2358217142857142e-10 1.5012624093954423e-08
1.2177658775510205e-10 1.5012624093954423e-08
1.2759457959183673e-10 1.5012624093954423e-08
1.2344842448979592e-10 1.5012624093954423e-08
1.2699271836734693e-10 1.5012624093954423e-08
1.2759457959183673e-10 1.5012624093954423e-08
1.2692584489795917e-10 1.5012624093954423e-08
1.243846530612245e-10 1.5012624093954423e-08
1.2639085714285715e-10 1.5012624093954423e-08
1.2619023673469387e-10 1.5012624093954423e-08
1.3140636734693877e-10 1.5012624093954423e-08
1.218434612244898e-10 1.5012624093954423e-08
1.2538775510204082e-10 1.5012624093954423e-08
1.200378775510204e-10 1.5012624093954423e-08
1.224453224489796e-10 1.5012624093954423e-08
1.2639085714285715e-10 1.5012624093954423e-08
1.2251219591836735e-10 1.5012624093954423e-08
1.2833018775510203e-10 1.5012624093954423e-08
1.251202612244898e-10 1.5012624093954423e-08
1.2097410612244897e-10 1.5012624093954423e-08
1.264577306122449e-10 1.5012624093954423e-08
1.2445152653061225e-10 1.5012624093954423e-08
1.297345306122449e-10 1.5012624093954423e-08
1.2639085714285715e-10 1.5012624093954423e-08
1.2833018775510203e-10 1.5012624093954423e-08
1.2739395918367347e-10 1.5012624093954423e-08
1.2037224489795917e-10 1.5012624093954423e-08
1.3026951836734693e-10 1.5012624093954423e-08
1.3154011428571428e-10 1.5012624093954423e-08
1.2344842448979592e-10 1.5012624093954423e-08
1.1997100408163266e-10 1.5012624093954423e-08
1.2578899591836736e-10 1.5012624093954423e-08
1.258558693877551e-10 1.5012624093954423e-08
1.2204408163265306e-10 1.5012624093954423e-08
1.2084035918367346e-10 1.5012624093954423e-08
1.200378775510204e-10 1.5012624093954423e-08
1.2364904489795917e-10 1.5012624093954423e-08
1.2224470204081632e-10 1.5012624093954423e-08
1.2431777959183672e-10 1.5012624093954423e-08
1.2431777959183672e-10 1.5012624093954423e-08
1.2251219591836735e-10 1.5012624093954423e-08
1.1970351020408162e-10 1.5012624093954423e-08
1.2826331428571428e-10 1.5012624093954423e-08
1.2873142857142857e-10 1.5012624093954423e-08
1.2117472653061225e-10 1.5012624093954423e-08
1.2478589387755102e-10 1.5012624093954423e-08
1.213753469387755e-10 1.5012624093954423e-08
1.2277968979591836e-10 1.5012624093954423e-08
1.265914775510204e-10 1.5012624093954423e-08
1.2532088163265306e-10 1.5012624093954423e-08
1.2752770612244897e-10 1.5012624093954423e-08
1.200378775510204e-10 1.5012624093954423e-08
1.252540081632653e-10 1.5012624093954423e-08
1.2425090612244897e-10 1.5012624093954423e-08
1.2672522448979592e-10 1.5012624093954423e-08
1.2578899591836736e-10 1.5012624093954423e-08
1.2552150204081632e-10 1.5012624093954423e-08
1.1997100408163266e-10 1.5012624093954423e-08
1.2204408163265306e-10 1.5012624093954423e-08
1.2652460408163266e-10 1.5012624093954423e-08
1.2545462857142857e-10 1.5012624093954423e-08
1.2766145306122448e-10 1.5012624093954423e-08
1.2605648979591837e-10 1.5012624093954423e-08
1.2057286530612245e-10 1.5012624093954423e-08
1.2097410612244897e-10 1.5012624093954423e-08
1.2211095510204081e-10 1.5012624093954423e-08
1.2819644081632652e-10 1.5012624093954423e-08
1.2665835102040816e-10 1.5012624093954423e-08
1.2532088163265306e-10 1.5012624093954423e-08
1.2371591836734695e-10 1.5012624093954423e-08
1.2538775510204082e-10 1.5012624093954423e-08
1.2284656326530612e-10 1.5012624093954423e-08
1.2578899591836736e-10 1.5012624093954423e-08
3.4653831836734693e-10 4.074855111216201e-08
3.3938285714285715e-10 4.074855111216201e-08
3.461370775510204e-10 4.074855111216201e-08
3.443983673469388e-10 4.074855111216201e-08
3.4339526530612246e-10 4.074855111216201e-08
3.390484897959184e-10 4.074855111216201e-08
3.307561795918367e-10 4.074855111216201e-08
3.3577168979591836e-10 4.074855111216201e-08
3.358385632653061e-10 4.074855111216201e-08
3.340998530612245e-10 4.074855111216201e-08
3.366410448979592e-10 4.074855111216201e-08
3.342336e-10 4.074855111216201e-08
3.346348408163265e-10 4.074855111216201e-08
3.381122612244898e-10 4.074855111216201e-08
3.4145593469387753e-10 4.074855111216201e-08
3.311574204081633e-10 4.074855111216201e-08
3.3831288163265306e-10 4.074855111216201e-08
3.4192404897959185e-10 4.074855111216201e-08
3.3416672653061225e-10 4.074855111216201e-08
3.4085407346938776e-10 4.074855111216201e-08
3.375104e-10 4.074855111216201e-08
3.3978409795918367e-10 4.074855111216201e-08
3.319599020408163e-10 4.074855111216201e-08
3.3791164081632655e-10 4.074855111216201e-08
